Model,Price,Offer
"realme C53 (Champion Gold, 64 GB)","10,999",15%
"realme C53 (Champion Black, 64 GB)","10,999",15%
"realme 11x 5G (Midnight Black, 128 GB)","15,999",15%
"realme 11x 5G (Purple Dawn, 128 GB)","15,999",15%
"realme 11x 5G (Purple Dawn, 128 GB)","14,999",11%
"realme 11x 5G (Midnight Black, 128 GB)","14,999",11%
"realme C53 (Champion Gold, 128 GB)","9,999",16%
"realme C53 (Champion Black, 128 GB)","9,999",16%
"realme C30 (Lake Blue, 32 GB)","6,499",30%
"realme C30 (Denim Black, 32 GB)","5,999",29%
"realme C30 (Denim Black, 32 GB)","6,499",30%
"realme C55 (Rainforest, 128 GB)","13,999",12%
"realme C55 (Rainforest, 64 GB)","11,999",14%
"realme C55 (Rainforest, 64 GB)","10,999",15%
"realme 11 5G (Glory Gold, 256 GB)","19,999",13%
"realme 11 5G (Glory Black, 256 GB)","19,999",13%
"realme 11 5G (Glory Gold, 128 GB)","18,999",9% 
"realme 11 5G (Glory Black, 128 GB)","18,999",9% 
"realme C55 (Sunshower, 64 GB)","10,999",15%
"realme C55 (Sunshower, 128 GB)","13,999",12%
"realme C55 (Rainy Night, 128 GB)","13,999",12%
"realme C55 (Sunshower, 64 GB)","11,999",14%
"realme C55 (Rainy Night, 64 GB)","11,999",14%
"realme C55 (Rainy Night, 64 GB)","10,999",15%
